generation,N_shifts,logPrior,logLik,eventRate,acceptRate
18400,1,15.1273,37.3112,0.904064,0.325
18500,0,8.25337,42.3788,0.448902,0.326
18600,0,7.26742,40.0849,1.43485,0.323333
18700,0,8.09575,34.7127,0.57657,0.325714
18800,1,16.606,28.8719,0.737959,0.31875
18900,0,8.23403,24.1778,0.440778,0.318889
19000,0,8.0463,28.3898,0.628504,0.315
19100,0,8.45693,26.4323,0.217872,0.31
19200,0,8.5009,11.4527,0.183685,0.36
19300,0,7.12727,9.88332,1.48932,0.35
19400,0,6.89201,5.38055,1.72458,0.3425
19500,0,7.98807,3.7323,0.707331,0.358
19600,0,6.44209,8.87841,2.25331,0.355
19700,1,10.8887,0.610165,2.25331,0.357143
19800,1,13.7979,7.06707,1.91632,0.3675
19900,1,13.8178,6.74407,0.0497045,0.367778
20000,1,16.5213,21.8468,0.420893,0.332154
20100,0,8.17682,18.9708,0.481434,0.36
20200,0,8.25145,20.8177,0.410876,0.34
20300,0,8.37104,21.068,0.259939,0.35
20400,1,16.4768,20.4978,0.858234,0.355
20500,2,20.0607,20.5699,3.86469,0.362
20600,0,8.11328,18.3108,0.517704,0.366667
20700,1,14.4876,20.96,0.437276,0.341429
20800,0,6.97726,21.1248,1.69737,0.33625
20900,2,23.2939,22.6713,1.69737,0.337778
21000,1,15.5215,19.3228,1.69737,0.349
21100,0,8.08888,15.2966,0.564481,0.38
21200,0,8.26298,17.0935,0.382014,0.37
21300,0,8.0721,21.9293,0.582755,0.343333
21400,0,8.3342,18.9057,0.286847,0.3575
21500,1,15.2038,16.037,0.481724,0.386
21600,0,8.58209,15.3317,0.0837469,0.378333
21700,0,8.6201,22.124,0.0457399,0.367143
21800,0,8.65331,27.0339,0.0457399,0.365
21900,0,8.66566,33.2357,0.0375387,0.362222
22000,0,8.63942,27.5021,0.0669909,0.340231
22100,0,8.6466,22.3682,0.059815,0.3
22200,0,7.96225,32.7958,0.767903,0.31
22300,0,7.98007,33.2758,0.767903,0.29
22400,0,8.73014,28.0458,0.0178346,0.2925
22500,1,16.9498,32.0039,0.48054,0.324
22600,1,16.7185,31.3764,0.725656,0.316667
22700,0,7.09608,34.7725,1.65039,0.32
22800,0,8.58898,38.4354,0.157487,0.32375
22900,0,8.67799,39.5937,0.0684769,0.325556
23000,0,8.66585,28.014,0.0141701,0.35275
23100,0,8.66585,31.8529,0.0141701,0.33
23200,0,8.67297,29.5871,0.00747325,0.32
23300,0,8.6382,20.8604,0.0140855,0.326667
23400,0,8.37199,22.4668,0.280295,0.345
23500,0,8.12059,26.7979,0.531691,0.334
23600,0,8.13148,22.854,0.531691,0.326667
23700,0,8.1305,24.1339,0.531691,0.321429
23800,0,7.20099,27.5825,1.4612,0.33125
23900,1,15.1622,34.3558,1.39457,0.334444
24000,2,21.7808,30.378,2.25155,0.335
