generation,N_shifts,logPrior,logLik,eventRate,acceptRate
32000,0,8.4468,68.5508,0.373696,0.215
32100,0,8.10768,68.4086,0.726296,0.21
32200,0,8.418,62.7203,0.383449,0.19
32300,0,8.39315,55.5404,0.383449,0.163333
32400,1,16.0179,57.4557,0.308963,0.1675
32500,1,15.127,59.7998,1.1576,0.178
32600,1,16.0758,66.7607,0.828883,0.186667
32700,0,7.93941,61.2754,0.828883,0.184286
32800,0,7.5332,59.1186,1.27664,0.1775
32900,0,8.18326,60.2962,0.626575,0.176667
33000,0,8.18326,63.0504,0.626575,0.17
33100,1,14.014,62.186,1.36709,0.17
33200,0,8.12947,61.1861,0.664036,0.185
33300,1,15.5778,60.5651,0.329217,0.17
33400,0,8.47783,68.2787,0.329217,0.1925
33500,0,7.90586,69.919,0.904115,0.176
33600,0,7.88347,64.9181,0.904115,0.175
33700,0,7.66692,62.7665,1.12067,0.177143
33800,1,17.1518,66.6805,0.305052,0.175
33900,0,8.73622,66.5559,0.0730351,0.177778
34000,0,8.54387,60.5229,0.265387,0.181
34100,2,25.1841,59.7377,0.544943,0.22
34200,1,16.9663,57.7172,0.544943,0.185
34300,0,8.26431,59.3301,0.544943,0.176667
34400,0,7.6977,52.8834,1.11155,0.1825
34500,0,7.70206,56.211,1.09969,0.18
34600,1,16.0944,59.4053,1.09969,0.18
34700,0,8.34783,64.4665,0.453908,0.175714
34800,0,8.07918,71.5604,0.733071,0.1775
34900,0,8.15987,77.9063,0.655195,0.171111
35000,0,8.48691,76.8671,0.347035,0.166
35100,0,7.295,73.1895,1.50535,0.16
35200,0,8.19458,76.9513,0.605776,0.13
35300,0,8.71295,81.5797,0.0874057,0.13
35400,0,8.71295,81.946,0.0874057,0.1425
35500,1,14.6712,93.0994,0.101738,0.142
35600,2,23.3767,92.1019,0.816632,0.145
35700,3,28.138,99.6639,2.81049,0.144286
35800,2,21.4528,102.028,2.81049,0.15375
35900,3,26.2023,97.783,2.81049,0.156667
36000,3,28.0932,95.3312,1.85974,0.157
36100,2,22.5818,94.8482,1.85974,0.12
36200,2,22.3447,92.4001,2.67221,0.13
36300,2,24.002,92.9964,1.25226,0.143333
36400,1,15.1008,95.9818,0.993651,0.155
36500,3,31.4429,94.0083,0.910031,0.17
36600,2,23.2424,95.4197,0.910031,0.168333
36700,1,15.6776,97.5034,0.51403,0.185714
36800,1,15.3069,103.926,0.51403,0.175
36900,1,16.2677,102.116,0.228711,0.168889
37000,1,13.8856,123.264,0.833034,0.188714
37100,1,12.7258,112.273,2.22101,0.23
37200,1,14.5992,110.335,0.634572,0.165
37300,1,16.1302,104.856,0.502794,0.17
37400,2,22.8898,110.376,0.502794,0.16
37500,2,20.3997,108.61,2.82143,0.164
37600,2,20.6594,105.416,2.74463,0.168333
37700,1,13.094,99.7948,1.05212,0.171429
37800,1,12.9998,101.281,1.33452,0.17875
37900,1,12.2235,102.239,1.29732,0.176667
38000,1,10.856,102.887,1.29732,0.173
38100,1,12.1349,102.092,0.990788,0.21
38200,1,12.5343,98.4125,0.990788,0.205
38300,1,12.5793,100.266,0.945788,0.196667
38400,2,20.2721,108.512,0.945788,0.19
38500,2,18.3454,111.072,1.48239,0.188
38600,1,13.0274,113.543,0.488299,0.19
38700,1,13.0331,112.107,0.488299,0.191429
38800,1,13.042,116.36,0.573271,0.185
38900,1,14.6742,109.042,0.573271,0.178889
39000,1,15.8609,123.189,0.537613,0.181333
39100,2,23.2717,127.267,0.507272,0.17
39200,3,31.3905,128.451,0.656555,0.17
39300,3,26.4202,124.816,4.27037,0.186667
39400,2,18.2655,116.101,4.18802,0.19
39500,3,26.0565,116.691,4.18802,0.178
39600,4,31.8463,119.166,4.18802,0.173333
39700,4,33.7009,122.709,4.50316,0.167143
39800,4,35.4381,119.814,2.79668,0.16875
39900,3,27.6036,122.528,2.79668,0.17
